,maximum price for this item in all shops,the shops id that sold this item at maximum price,amount in all months
0,58.0,54,1.0
1,4490.0,55,6.0
2,58.0,54,2.0
3,100.0,54,2.0
4,58.0,54,1.0
5,28.0,54,1.0
6,100.0,54,1.0
7,28.0,54,1.0
8,58.0,54,2.0
9,58.0,54,1.0
10,28.0,54,1.0
11,58.0,54,1.0
12,189.0,54,1.0
13,58.0,54,1.0
14,28.0,54,1.0
15,58.0,54,1.0
16,58.0,56,1.0
17,98.0,44,1.0
18,58.0,25,1.0
19,28.0,25,1.0
20,58.0,54,1.0
21,58.0,54,1.0
22,28.0,54,1.0
23,28.0,54,1.0
24,98.0,54,1.0
25,58.0,54,1.0
26,58.0,31,1.0
27,2499.0,19,3.0
28,549.0,46,7.0
29,2499.0,31,3.0
30,399.0,31,255.0
31,699.0,31,104.0
32,349.0,31,286.0
33,499.0,25,65.0
34,149.0,25,15.0
35,399.0,28,26.0
36,549.0,25,10.0
37,149.0,31,20.0
38,2399.0,27,7.0
39,6599.0,18,1.0
40,249.0,25,18.0
41,249.0,25,9.0
42,299.0,25,21.0
43,248.0,28,1.0
44,299.0,57,17.0
45,299.0,31,34.0
46,249.0,31,10.0
47,249.0,31,11.0
48,249.0,25,9.0
49,299.0,31,39.0
50,249.0,25,1.0
51,299.0,25,45.0
52,299.0,25,18.0
53,299.0,31,58.0
54,299.0,25,8.0
55,299.0,31,10.0
56,299.0,54,6.0
57,299.0,31,35.0
58,127.0,55,1.0
59,249.0,31,42.0
60,249.0,54,6.0
61,349.0,21,2.0
62,499.0,35,5.0
63,149.0,31,2.0
64,169.0,57,10.0
65,399.0,57,7.0
66,399.0,25,7.0
67,169.0,31,29.0
68,28.0,26,1.0
69,250.0,55,108.0
70,349.0,22,45.0
71,999.0,42,2.0
72,119.0,31,13.0
73,98.0,16,1.0
74,999.0,42,1.0
75,149.0,25,6.0
76,499.0,25,32.0
77,399.0,31,117.0
78,399.0,54,13.0
79,399.0,31,8.0
80,299.0,54,1.0
81,299.0,25,4.0
82,299.0,12,2.0
84,149.0,31,2.0
85,299.0,54,11.0
86,58.0,18,1.0
87,999.0,42,2.0
88,149.0,31,7.0
89,149.0,25,3.0
90,399.0,28,39.0
91,549.0,28,17.0
92,249.0,46,1.0
93,249.0,31,39.0
94,299.0,31,2.0
95,299.0,31,2.0
96,149.0,31,13.0
97,149.0,31,24.0
98,399.0,54,59.0
99,149.0,25,12.0
100,149.0,25,15.0
101,216.0,55,7.0
102,27900.0,55,2.0
103,14900.0,55,2.0
104,4900.0,55,2.0
105,28.0,22,1.0
106,28.0,22,1.0
107,172.0,55,2.0
108,172.0,55,2.0
109,249.0,31,16.0
110,172.0,55,2.0
111,249.0,31,8.0
112,172.0,55,3.0
113,249.0,25,28.0
114,172.0,55,1.0
115,199.0,31,4.0
116,89.0,12,1.0
117,172.0,55,2.0
118,114.0,55,3.0
119,75.0,55,1.0
120,114.0,55,1.0
121,172.0,55,1.0
122,75.0,55,1.0
123,314.0,55,1.0
124,114.0,55,1.0
125,114.0,55,2.0
126,114.0,55,2.0
127,114.0,55,2.0
128,114.0,55,1.0
129,114.0,55,2.0
130,114.0,55,1.0
131,114.0,55,2.0
132,216.0,55,2.0
133,249.0,31,4.0
134,249.0,12,1.0
135,250.0,28,1.0
136,199.0,25,1.0
137,172.0,55,1.0
138,249.0,28,1.0
139,249.0,25,1.0
141,144.0,55,1.0
142,299.0,25,2.0
143,249.0,12,1.0
144,114.0,55,1.0
145,144.0,55,1.0
146,110.0,55,1.0
147,110.0,55,1.0
148,114.0,55,1.0
149,249.0,31,47.0
150,188.0,55,4.0
151,249.0,24,5.0
152,249.0,28,4.0
153,499.0,25,25.0
154,349.0,25,44.0
155,349.0,25,31.0
156,349.0,31,31.0
157,110.0,55,3.0
158,110.0,55,3.0
159,110.0,55,1.0
160,110.0,55,1.0
161,119.0,55,3.0
162,249.0,46,1.0
163,129.0,55,2.0
164,114.0,55,1.0
165,249.0,12,1.0
166,249.0,31,12.0
167,149.0,55,1.0
169,172.0,55,1.0
170,249.0,5,1.0
171,249.0,42,1.0
172,250.0,42,1.0
174,80.0,55,1.0
175,249.0,38,1.0
176,250.0,59,1.0
177,250.0,54,7.0
178,250.0,53,1.0
