,minimum price for this item in all shops,the shops id that sold this item at minimum price,amount in all months
32,70.62,51,29.0
33,128.2,51,3.0
45,167.0,51,7.0
49,127.0,51,5.0
51,101.5,51,8.0
53,167.0,51,9.0
57,152.15,51,12.0
308,89.0,51,8.0
325,75.0,51,5.0
448,117.0,10,1.0
464,155.0,10,3.0
482,1212.85,10,24.0
491,330.86,10,7.0
496,1896.0,0,1.0
687,221.17,10,9.0
784,192.0,22,142.0
829,1263.03,10,9.0
832,145.0,12,50.0
835,1896.0,51,4.0
839,1219.1,10,9.0
1007,235.0,51,12.0
1010,176.0,13,9.0
1037,2344.0,51,4.0
1101,117.97,51,9.0
1102,117.17,51,16.0
1131,282.0,51,10.0
1142,699.5,26,5.0
1201,173.0,51,6.0
1224,265.0,10,6.0
1241,170.0,13,2.0
1247,170.0,13,6.0
1249,170.0,13,29.0
1315,264.74,51,8.0
1329,173.5,13,5.0
1332,259.0,10,8.0
1467,599.0,18,47.0
1523,502.7,51,48.0
1611,259.0,51,6.0
1729,180.0,13,9.0
1740,180.0,13,12.0
1741,190.0,10,11.0
1753,173.0,10,4.0
1830,215.65,13,29.0
1905,94.08,13,18.0
1916,138.05,10,52.0
2078,259.0,10,4.0
2090,330.0,12,1.0
2100,190.0,13,14.0
2104,282.0,10,8.0
2163,183.0,51,6.0
2182,116.07,13,24.0
2252,210.19,51,51.0
2308,109.49,51,128.0
2416,312.02,51,73.0
2461,259.0,10,4.0
2574,172.27,13,26.0
2607,116.07,13,10.0
2626,173.0,10,6.0
2635,151.85,51,6.0
2639,282.0,51,8.0
2678,399.6,38,28.0
2703,248.0,18,32.0
2808,614.9,51,307.0
2946,409.37,51,23.0
3007,1128.0,10,41.0
3014,690.5,18,4.0
3076,399.5,18,266.0
3077,399.5,57,352.0
3107,190.0,51,13.0
3141,531.0,22,100.0
3146,1844.0,0,12.0
3148,1251.0,57,171.0
3158,691.0,57,111.0
3268,190.0,13,1.0
3280,190.0,51,6.0
3528,964.0,51,10.0
3554,374.75,57,45.0
3580,133.79,13,6.0
3651,110.0,51,7.0
3656,180.0,51,13.0
3676,249.75,25,76.0
3686,665.74,51,22.0
3822,259.0,51,1.0
3823,190.0,10,10.0
3851,448.4,13,3.0
3871,702.74,10,5.0
3897,265.0,10,3.0
4003,250.0,13,7.0
4092,190.0,10,7.0
4100,282.0,10,8.0
4110,190.0,10,7.0
4240,374.75,2,48.0
4244,272.48,46,77.0
4248,374.75,2,105.0
4249,327.02,38,107.0
4251,198.7,31,109.0
4418,183.0,51,3.0
4445,170.0,51,3.0
4531,161.0,1,1.0
4548,1672.0,22,27.0
4551,170.0,51,3.0
4564,173.5,13,5.0
4573,116.07,13,19.0
4579,225.0,51,5.0
4602,180.0,1,1.0
4604,259.0,10,4.0
4607,179.0,10,4.0
4610,179.0,10,8.0
4694,127.0,51,5.0
4701,115.71,51,5.0
4884,167.0,51,10.0
4906,833.11,13,7.0
5051,180.0,0,1.0
5060,190.0,51,11.0
5065,100.0,12,4.0
5096,718.6,22,1.0
5260,149.5,31,147.0
5272,143.56,13,29.0
5275,788.08,51,10.0
5324,173.0,51,18.0
5341,696.0,12,4.0
5353,110.0,51,10.0
5361,21.58,51,31.0
5362,298.0,59,3.0
5380,1882.0,22,145.0
5459,139.9,13,11.0
5460,661.0,13,1.0
5470,806.0,35,5.0
5497,2399.0,25,35.0
5500,999.0,13,9.0
5542,334.0,10,7.0
5552,182.82,10,1.0
5572,1300.0,12,30.0
5581,86.94,11,1.0
5583,349.3,25,65.0
5601,236.0,51,4.0
5605,275.0,51,3.0
5643,1712.52,51,41.0
5811,66.59,13,14.0
5820,1599.0,24,77.0
5821,479.0,26,110.0
5822,772.03,51,87.0
5823,1884.02,51,41.0
5945,190.0,13,8.0
5946,190.0,13,14.0
6004,190.0,51,4.0
6007,179.0,10,9.0
6008,179.0,51,4.0
6027,183.0,13,3.0
6045,190.0,13,16.0
6185,294.29,10,35.0
6202,161.89,13,6.0
6238,173.0,51,11.0
6342,180.0,51,10.0
6351,282.0,13,16.0
6405,155.13,51,12.0
6740,228.48,13,16.0
6857,282.0,51,11.0
6953,98.0,31,159.0
7220,877.59,51,10.0
7459,180.0,10,4.0
7524,173.0,51,7.0
7653,282.0,51,5.0
7673,190.0,51,4.0
7856,531.24,51,46.0
7893,895.0,27,310.0
7894,745.0,28,303.0
7895,449.2,31,131.0
7912,214.5,51,19.0
7956,3174.0,12,14.0
8012,173.0,51,5.0
8089,110.0,13,14.0
8093,759.0,21,34.0
8330,407.43,22,8.0
8357,110.0,51,2.0
8363,100.82,10,4.0
8436,240.0,22,37.0
8497,207.0,51,10.0
8508,483.0,51,6.0
8528,611.0,10,6.0
8555,124.0,10,1.0
8571,219.0,51,9.0
8685,110.0,51,14.0
8687,110.0,51,5.0
8690,69.64,13,3.0
8743,46.43,13,4.0
8778,60.0,51,26.0
8816,759.0,1,1.0
8859,106.0,51,7.0
8863,116.09,10,8.0
8958,249.5,25,52.0
9010,110.0,51,2.0
9033,74.74,51,26.0
9089,110.0,51,18.0
9171,224.0,13,6.0
9451,225.0,51,11.0
9452,84.0,0,1.0
9507,60.0,51,28.0
9565,43.98,13,8.0
10051,46.43,13,9.0
10159,110.0,51,7.0
10164,110.0,10,6.0
10180,127.0,51,7.0
10225,150.0,51,3.0
10277,110.0,51,10.0
10283,640.94,51,17.0
10325,76.0,51,13.0
10331,76.0,51,16.0
10334,54.3,13,5.0
10337,54.3,13,5.0
10340,76.0,51,8.0
10343,76.0,51,8.0
10347,69.31,10,3.0
10348,54.3,13,4.0
10389,215.0,51,10.0
10391,110.0,51,16.0
10452,45.82,13,12.0
10578,167.0,51,16.0
10660,627.0,10,3.0
10661,719.0,3,1.0
10687,621.0,10,3.0
10691,518.0,10,2.0
10772,173.0,51,1.0
10777,288.0,10,2.0
10786,105.69,13,14.0
10887,110.0,51,13.0
10888,87.0,51,10.0
10889,110.0,51,11.0
10891,110.0,51,7.0
10892,110.0,51,6.0
10894,87.0,51,10.0
10904,72.0,51,18.0
10907,72.0,51,10.0
10908,72.0,51,11.0
10911,72.0,51,8.0
10914,110.0,51,8.0
10915,110.0,51,8.0
10927,100.0,12,1.0
10928,100.0,12,1.0
10930,110.0,51,11.0
10939,72.0,51,4.0
10942,110.0,51,11.0
10943,110.0,51,8.0
10944,75.0,51,9.0
10945,139.86,51,14.0
10947,167.0,51,15.0
11060,110.0,51,12.0
11065,100.0,12,1.0
11081,69.0,51,16.0
11099,76.0,51,9.0
11106,110.0,51,7.0
11184,110.0,51,21.0
11323,167.0,51,18.0
11324,154.07,51,21.0
11365,124.0,12,1007.0
11369,96.42857142860001,12,2688.0
11370,62.5,12,6163.0
11373,0.9087136929459999,12,6563.0
11377,184.0,51,5.0
11379,72.0,51,6.0
11391,586.61,51,30.0
11425,175.0,13,2.0
11433,110.0,51,4.0
11435,110.0,51,24.0
11655,666.33,56,11.0
11829,449.0,9,11.0
11879,167.0,51,17.0
11880,167.0,51,19.0
11938,61.47,11,1.0
12062,72.0,51,10.0
12064,68.6,51,15.0
12066,64.98,10,1.0
12134,153.93,51,116.0
12208,600.0,22,3.0
12231,280.0,22,86.0
12286,24.69,10,9.0
12360,195.0,51,3.0
12459,169.44,10,4.0
12463,110.0,51,5.0
12465,110.0,51,9.0
12467,2415.0,0,2.0
12472,110.0,51,8.0
12473,110.0,51,6.0
12477,110.0,10,7.0
12485,110.0,51,7.0
12491,110.0,51,4.0
12498,110.0,10,8.0
12536,67.2,13,11.0
12539,219.0,51,6.0
12541,75.0,13,11.0
12542,75.0,13,7.0
12543,70.93,10,5.0
12544,110.0,51,5.0
12548,110.0,10,5.0
12549,110.0,13,3.0
12550,75.0,13,17.0
12551,75.0,13,10.0
12552,75.0,51,7.0
12558,110.0,51,5.0
12563,75.0,51,11.0
12677,59.94,51,15.0
12778,110.0,51,5.0
12795,173.0,51,5.0
12796,161.0,10,7.0
12797,110.0,51,7.0
12803,599.9,43,5.0
12805,69.04,51,28.0
12817,60.0,51,25.0
12828,58.62,51,30.0
12839,77.0,51,35.0
12840,51.44,13,4.0
12860,60.0,51,24.0
12878,75.0,51,7.0
12917,145.95,51,2.0
12964,110.0,51,15.0
12967,110.0,51,15.0
12970,91.11,51,8.0
12974,173.0,51,10.0
12979,110.0,51,23.0
12990,110.0,51,15.0
13028,69.64,13,6.0
13039,49.0,57,71.0
13040,133.0,51,2.0
13065,110.0,51,29.0
13085,232.0,51,11.0
13100,927.0,51,1.0
13118,167.0,51,30.0
13161,115.0,51,5.0
13370,117.8,10,1.0
13511,1120.0,12,13.0
13607,161.0,51,36.0
13609,161.0,51,35.0
13881,261.47,13,62.0
13893,69.64,13,9.0
13894,91.11,51,7.0
13901,196.0,51,26.0
13903,110.0,51,10.0
13923,71.01,10,4.0
14039,50.55,51,22.0
14103,110.0,51,15.0
14164,161.0,51,29.0
14167,115.0,51,6.0
14215,155.0,12,1.0
14216,167.0,51,18.0
14247,67.2,13,11.0
14252,110.0,51,6.0
14262,99.0,57,14.0
14264,90.35,51,4.0
14280,230.0,10,6.0
14312,110.0,10,7.0
14313,110.0,10,7.0
14320,47.04,13,15.0
14389,73.0,51,16.0
14390,73.0,51,13.0
14417,28.0,28,16.0
14470,126.46,13,15.0
14532,92.0,10,2.0
14627,110.0,51,17.0
14668,288.0,51,20.0
14678,69.64,13,11.0
14690,107.09,51,6.0
14931,231.53,13,8.0
15015,167.0,51,16.0
15256,230.0,10,20.0
15257,211.76,10,13.0
15303,597.0,51,18.0
15438,323.0,10,4.0
15444,340.5,10,6.0
15447,567.0,10,3.0
15450,310.0,10,6.0
15455,300.0,51,2.0
15458,247.0,10,6.0
15459,222.37,13,11.0
15548,110.0,51,22.0
15552,583.5,51,7.0
15683,73.66,10,2.0
15757,110.0,51,11.0
15780,98.0,51,17.0
15811,110.0,51,5.0
15833,77.0,13,17.0
15836,74.74,51,63.0
16020,194.0,0,3.0
16071,126.0,12,11.0
16108,138.0,0,2.0
16122,427.0,12,5.0
16128,759.22,12,3.0
16135,138.0,51,6.0
16146,860.14,10,9.0
16147,361.1,10,6.0
16154,421.0,10,9.0
16159,421.0,13,4.0
16160,994.0,1,6.0
16167,401.94,12,3.0
16170,1150.0,35,16.0
16180,930.0,12,2.0
16182,805.66,12,3.0
16184,132.0,12,12.0
16205,185.0,12,3.0
16206,374.0,12,6.0
16209,203.0,51,11.0
16210,178.27,11,1.0
16219,166.78,13,7.0
16227,168.61,13,10.0
16245,494.0,0,4.0
16311,666.0,10,1.0
16313,597.0,51,9.0
16315,540.0,51,18.0
16316,586.0,10,2.0
16450,77.0,51,32.0
16459,133.79,13,6.0
16461,110.0,10,5.0
16549,110.0,51,4.0
16786,95.0,51,6.0
16822,127.0,51,10.0
16898,624.0,13,4.0
16953,45.82,13,2.0
16954,159.2,25,14.0
17017,110.0,13,2.0
17064,60.0,51,7.0
17224,101.0,12,3.0
17322,76.0,51,11.0
17398,70.0,51,6.0
17400,64.98,10,1.0
17481,400.0,24,22.0
17589,155.0,51,7.0
17610,139.86,51,20.0
17620,155.13,51,10.0
17624,175.0,51,4.0
17625,175.0,51,3.0
17717,9.0,28,501.0
17750,1321.59,10,3.0
17756,185.0,51,3.0
17811,60.0,51,23.0
17921,110.0,51,9.0
18016,206.0,1,1.0
18022,206.0,10,1.0
18059,134.0,10,1.0
18099,167.0,51,9.0
18187,152.15,51,10.0
18191,161.0,51,33.0
18192,161.0,51,29.0
18200,219.0,51,9.0
18201,219.0,51,3.0
18253,167.0,51,7.0
18255,98.6,10,5.0
18257,102.18,51,9.0
18259,110.0,51,5.0
18260,67.2,13,11.0
18315,113.89,51,35.0
18320,110.0,51,16.0
18333,161.0,51,78.0
18338,161.0,51,31.0
18344,69.64,13,8.0
18361,167.0,51,6.0
18378,69.0,12,1.0
18379,75.0,13,6.0
18384,75.0,51,16.0
18417,110.0,10,1.0
18434,72.0,51,5.0
18439,110.0,51,35.0
18462,110.0,51,13.0
18464,110.0,51,10.0
18466,110.0,51,11.0
18491,110.0,51,9.0
18617,110.0,51,9.0
18619,110.0,51,5.0
18620,110.0,51,4.0
18669,73.53,51,13.0
18671,219.0,13,2.0
18672,133.79,13,7.0
18675,110.0,13,3.0
18677,108.0,51,6.0
18679,219.0,13,11.0
18680,72.0,51,5.0
18685,110.0,13,13.0
18686,110.0,51,4.0
18688,72.0,51,6.0
18696,133.79,13,4.0
18699,72.0,51,7.0
18701,87.0,51,8.0
18704,110.0,13,9.0
18882,70.0,51,16.0
19041,173.0,51,3.0
19043,110.0,51,7.0
19046,207.0,51,6.0
19178,199.0,38,3.0
19258,167.0,51,12.0
19313,161.0,51,16.0
19317,133.47,51,24.0
19337,206.0,51,1.0
19338,279.0,22,111.0
19344,400.0,22,93.0
19346,227.0,0,1.0
19464,94.0,10,2.0
19588,215.0,1,1.0
19597,51.59,58,78.0
19602,51.59,58,134.0
19650,249.5,31,57.0
19674,544.78,42,17.0
19789,109.32,13,9.0
19908,110.0,51,2.0
19927,167.0,51,5.0
19957,155.0,10,1.0
20078,72.8,51,24.0
20104,149.55,51,9.0
20111,219.0,51,4.0
20327,225.0,13,4.0
20881,346.0,51,1.0
21358,229.09,13,4.0
21445,49.0,31,57.0
21562,69.64,13,8.0
21597,110.0,13,3.0
21787,130.0,51,5.0
21914,119.0,54,4.0
21928,110.0,13,1.0
21929,110.0,13,8.0
21980,92.0,51,8.0
22087,44.0,51,140.0
22088,44.0,51,137.0
22091,63.0,51,70.0
22092,64.0,51,62.0
22111,225.0,51,3.0
22139,399.0,25,26.0
