,minimum price for this item in all shops,the shops id that sold this item at minimum price,amount in all months
0,58.0,54,1.0
1,4490.0,55,6.0
2,58.0,54,2.0
3,58.0,54,2.0
4,58.0,54,1.0
5,28.0,54,1.0
6,100.0,54,1.0
7,28.0,54,1.0
8,58.0,54,2.0
9,58.0,54,1.0
10,28.0,54,1.0
11,58.0,54,1.0
12,189.0,54,1.0
13,58.0,54,1.0
14,28.0,54,1.0
15,58.0,54,1.0
16,58.0,56,1.0
17,98.0,44,1.0
18,58.0,25,1.0
19,28.0,25,1.0
20,58.0,54,1.0
21,58.0,54,1.0
22,28.0,54,1.0
23,28.0,54,1.0
24,98.0,54,1.0
25,58.0,54,1.0
26,58.0,31,1.0
27,498.0,5,2.0
28,126.0,51,2.0
29,978.0,6,1.0
30,99.0,51,38.0
31,147.62,51,19.0
32,70.62,51,29.0
33,128.2,51,3.0
34,76.0,51,6.0
35,148.0,41,1.0
36,58.0,44,4.0
37,75.0,13,6.0
38,1326.85,51,1.0
39,5499.0,15,1.0
40,127.0,51,2.0
41,127.0,51,3.0
42,127.0,51,3.0
43,98.0,16,1.0
44,127.0,51,7.0
45,167.0,51,7.0
46,127.0,51,3.0
47,127.0,13,1.0
48,127.0,51,3.0
49,127.0,51,5.0
50,249.0,25,1.0
51,101.5,51,8.0
52,127.0,51,4.0
53,167.0,51,9.0
54,167.0,51,3.0
55,97.0,51,10.0
56,167.0,51,2.0
57,152.15,51,12.0
58,127.0,55,1.0
59,110.0,51,6.0
60,87.0,10,1.0
61,195.0,0,1.0
62,200.0,10,2.0
63,66.0,51,1.0
64,69.54,51,5.0
65,265.0,10,1.0
66,265.0,10,1.0
67,72.0,51,1.0
68,28.0,26,1.0
69,200.0,55,108.0
70,299.0,29,1.0
71,498.7,31,4.0
72,76.0,13,2.0
73,28.0,54,2.0
74,499.0,25,6.0
75,76.0,51,2.0
76,248.0,42,22.0
77,80.0,51,14.0
78,240.0,13,5.0
79,265.0,51,1.0
80,190.0,51,1.0
81,185.0,13,1.0
82,200.0,51,1.0
84,69.0,51,1.0
85,190.0,13,1.0
86,28.0,54,1.0
87,499.0,31,4.0
88,76.0,13,2.0
89,28.0,18,1.0
90,265.0,51,4.0
91,199.0,28,17.0
92,249.0,46,1.0
93,92.0,51,3.0
94,58.0,56,2.0
95,193.0,0,1.0
96,70.0,0,1.0
97,67.0,51,2.0
98,268.0,0,30.0
99,70.0,51,2.0
100,76.0,51,3.0
101,151.0,55,7.0
102,27900.0,55,2.0
103,12900.0,55,2.0
104,4900.0,55,2.0
105,28.0,22,1.0
106,28.0,22,1.0
107,172.0,55,2.0
108,172.0,55,2.0
109,89.0,51,9.0
110,172.0,55,2.0
111,89.0,51,3.0
112,172.0,55,3.0
113,89.0,51,9.0
114,172.0,55,1.0
115,99.0,0,1.0
116,89.0,12,1.0
117,172.0,55,2.0
118,114.0,55,3.0
119,75.0,55,1.0
120,114.0,55,1.0
121,172.0,55,1.0
122,75.0,55,1.0
123,314.0,55,1.0
124,114.0,55,1.0
125,114.0,55,2.0
126,114.0,55,2.0
127,114.0,55,2.0
128,114.0,55,1.0
129,114.0,55,2.0
130,114.0,55,1.0
131,114.0,55,2.0
132,216.0,55,2.0
133,75.0,13,2.0
134,249.0,12,1.0
135,250.0,28,1.0
136,89.0,0,1.0
137,172.0,55,1.0
138,249.0,28,1.0
139,249.0,25,1.0
141,144.0,55,1.0
142,299.0,25,2.0
143,249.0,12,1.0
144,114.0,55,1.0
145,144.0,55,1.0
146,110.0,55,1.0
147,110.0,55,1.0
148,114.0,55,1.0
149,97.0,13,1.0
150,188.0,55,4.0
151,75.0,0,1.0
152,97.0,0,1.0
153,258.0,0,3.0
154,162.0,51,8.0
155,162.0,51,14.0
156,162.0,51,10.0
157,110.0,55,3.0
158,110.0,55,3.0
159,110.0,55,1.0
160,110.0,55,1.0
161,119.0,55,3.0
162,249.0,46,1.0
163,129.0,55,2.0
164,114.0,55,1.0
165,249.0,12,1.0
166,89.0,51,1.0
167,149.0,55,1.0
169,172.0,55,1.0
170,249.0,5,1.0
171,249.0,42,1.0
172,250.0,42,1.0
174,80.0,55,1.0
175,75.0,13,1.0
176,250.0,59,1.0
177,116.0,51,1.0
178,250.0,53,1.0
